normalized_question,count,example_question
okay,19,Okay?
how about yourself,6,How about yourself?
right,6,Right?
all right,6,All right?
tudo bem,5,Tudo bem?
ta bom,5,Tá bom?
is that okay,5,Is that okay?
may i give you a suggestion,4,May I give you a suggestion?
how does that sound,4,How does that sound?
pode ser,3,Pode ser?
how's it going man,3,"How's it going, man?"
how's it going,3,How's it going?
can i help you,3,Can I help you?
are you brazilian,3,Are you Brazilian?
do you know fitchburg,2,Do you know Fitchburg?
e o andre aqui da comiqueto,2,É o André aqui da Comiqueto?
did i catch you at a bad time,2,Did I catch you at a bad time?
ta,2,Tá?
did you have a good weekend,2,Did you have a good weekend?
huh,2,Huh?
e a patricia rizzi,2,É a Patrícia Rizzi?
o que voce acha,2,O que você acha?
how did you come to find us brazilian barbecue,2,How did you come to find us Brazilian barbecue?
did i catch you at a bedtime,2,Did I catch you at a bedtime?
where are you,2,Where are you?
nao,2,Não?
hello,2,Hello?
ele tem vemo so que ele nao pode receber pelo vemo porque nao e pela companhia pela empresa entendeu,1,"Ele tem Vemo, só que ele não pode receber pelo Vemo porque não é pela companhia, pela empresa, entendeu?"
e voce vai ficar sem os aperitivos mesmo entao por enquanto ne,1,"E você vai ficar sem os aperitivos mesmo, então, por enquanto, né?"
na verdade tem que agradar a voce ne,1,"Na verdade, tem que agradar a você, né?"
quando voce efetuar o pagamento ai me manda um ok e me manda seu endereco completo endereco do evento tambem para eu poder ver aonde o dia tambem que voce vai vir pra fazer o tasting se voce quiser e quando voce quiser ta bom,1,"Quando você efetuar o pagamento aí, me manda um OK e me manda seu endereço completo, endereço do evento também, para eu poder ver aonde O dia também que você vai vir pra fazer o tasting, se você quiser e quando você quiser, tá bom?"
onde que voce mora,1,Onde que você mora?
quero fazer o pagamento deles hein,1,"Quero fazer o pagamento deles, hein?"
how about yourself my friend,1,"How about yourself, my friend?"
all right matt if you have any questions or anything just always reach out okay,1,"All right, Matt, if you have any questions or anything, just always reach out, okay?"
do you have his name,1,Do you have his name?
why are you calling us,1,Why are you calling us?
can i help you with anything before i pass you to the owner,1,Can I help you with anything before I pass you to the owner?
you should know the owner's name right,1,"You should know the owner's name, right?"
again if you need to speak to the owner you should ask for by his name right,1,"Again, if you need to speak to the owner, you should ask for by his name, right?"
you know who you need to talk to,1,You know who you need to talk to?
what's the name of the business,1,What's the name of the business?
do you have a way to send a text message,1,Do you have a way to send a text message?
when you say credit card processing what is the issue,1,"When you say credit card processing, what is the issue?"
boa tarde tudo tranquilo,1,"boa tarde, tudo tranquilo?"
e marcelo,1,É Marcelo?
qual foi a pessoa com quem voce falou da ultima vez,1,Qual foi a pessoa com quem você falou da última vez?
alo boa noite marcelo,1,"Alô, boa noite, Marcelo?"
andre aqui da comiqueto,1,André aqui da Comiqueto?
como e que foi seu dia por ai,1,Como é que foi seu dia por aí?
e voce deve ser muito amigo dele viu,1,"E você deve ser muito amigo dele, viu?"
e ele me falou que sao 100 pessoas correto,1,"E ele me falou que são 100 pessoas, correto?"
voce gostaria de trocar alguma coisa ou a selecao que eu fiz ta bem em cima,1,você gostaria de trocar alguma coisa ou a seleção que eu fiz tá bem em cima?
eu fiz dessa forma pra te mostrar a quote entendeu,1,"Eu fiz dessa forma pra te mostrar a quote, entendeu?"
voce tem alguma duvida,1,Você tem alguma dúvida?
alguma pergunta que eu posso te ajudar,1,Alguma pergunta que eu posso te ajudar?
pra quando,1,Pra quando?
e quantas mesas mais ou menos e cadeiras voce acha que esta precisando,1,"E quantas mesas, mais ou menos, e cadeiras você acha que está precisando?"
pra quando que e o evento mesmo,1,Pra quando que é o evento mesmo?
com o tipo com tudo ja incluido ja ta,1,"com o tipo, com tudo já incluído já, tá?"
entao eu vou tirar como eu ja sei disso agora eu vou tirar o sausage a linguica vou colocar pra voce uma fraldinha pode ser,1,"Então eu vou tirar, como eu já sei disso agora, eu vou tirar o sausage, a linguiça, vou colocar pra você uma fraldinha, pode ser?"
falou marcelo muito obrigado boa noite pra voce ai ta,1,"Falou, Marcelo, muito obrigado, boa noite pra você aí, tá?"
meu amigo boa noite pra voce ta bom,1,"Meu amigo, boa noite pra você, tá bom?"
andre da comiqueto,1,"André, da Comiqueto?"
podemos conversar um pouquinho,1,Podemos conversar um pouquinho?
brigadeirozinho de copo ta,1,"brigadeirozinho de copo, tá?"
entao o humus o humus de maracuja e o brigadeiro de copinho ne,1,"Então o humus, o humus de maracujá e o brigadeiro de copinho, né?"
qualquer coisa eu te ligo novamente ta laura,1,"Qualquer coisa, eu te ligo novamente, tá, Laura?"
what's the best time for me to reach you,1,What's the best time for me to reach you?
and by the way are you brazilian,1,"And by the way, are you Brazilian?"
give me a call okay,1,"Give me a call, okay?"
rebecca just wondering over here when is the best time for me to catch you on the phone so we could talk about the organization of the wedding,1,"Rebecca, just wondering over here when is the best time for me to catch you on the phone so we could talk about the organization of the wedding?"
how did you come to find us andrea,1,"How did you come to find us, Andrea?"
is this going to happen at your house,1,Is this going to happen at your house?
do you have a venue,1,Do you have a venue?
so something very nice and intimate for good friends and family huh,1,"So something very nice and intimate for good friends and family, huh?"
brazilian barbecue how acquainted to it are you guys,1,"Brazilian barbecue, How acquainted to it are you guys?"
and you guys are in boston correct,1,"And you guys are in Boston, Correct?"
all right so as far as the packages we have you said that you're interested in the deluxe buffet right,1,"All right, so as far as the packages we have, you said that you're interested in the deluxe buffet, right?"
how about we do a tasting,1,How about we do a tasting?
how would you feel about that,1,How would you feel about that?
how would you feel about coming for a tasting,1,How would you feel about coming for a tasting?
did you receive the text message i just sent,1,Did you receive the text message I just sent?
ola marcelo tudo bem,1,"Olá Marcelo, tudo bem?"
