phrase,count,token_count
all right,228,2
a gente,205,2
going to,152,2
for you,110,2
que voce,106,2
you have,96,2
eu vou,87,2
over here,85,2
to be,83,2
e o,74,2
this is,72,2
have a,71,2
para voce,69,2
que eu,68,2
if you,68,2
me a,67,2
let me,62,2
i'm gonna,62,2
going to be,59,3
to you,57,2
so you,57,2
you to,57,2
i can,57,2
pra voce,56,2
you know,56,2
we can,56,2
that you,56,2
you can,54,2
on the,52,2
so i,50,2
you guys,49,2
o que,48,2
for you to,47,3
the best,46,2
i have,45,2
que a,44,2
voce vai,43,2
text message,43,2
e ai,43,2
i see,43,2
you a,43,2
e a,42,2
is andre,42,2
we have,42,2
give me,41,2
this is andre,41,3
talk to,41,2
eu te,41,2
que a gente,38,3
que e,38,2
a call,38,2
sent you,38,2
com o,36,2
do you,36,2
to the,36,2
to have,36,2
the way,35,2
i sent,35,2
tell you,34,2
ai voce,33,2
help you,33,2
give me a,33,3
per person,33,2
i sent you,33,3
ta bom,32,2
are you,32,2
voce tem,32,2
so i can,32,3
send you,32,2
want to,31,2
vou te,30,2
eu ja,30,2
of the,30,2
a quote,30,2
keto catering,30,2
quando voce,29,2
se voce,29,2
a great,29,2
once you,29,2
from conquito,29,2
tudo bem,29,2
it's a,29,2
voce pode,28,2
to talk,28,2
me a call,28,3
give me a call,28,4
it's going,28,2
give you,28,2
like you,28,2
so you can,28,3
e que,27,2
com a,27,2
por pessoa,27,2
to know,27,2
our food,27,2
it's going to,27,3
in the,27,2
o que voce,26,3
great day,26,2
a text,26,2
deixa eu,26,2
you the,26,2
to get,26,2
a tasting,26,2
did you,26,2
e uma,25,2
o seu,25,2
ou menos,25,2
e mail,25,2
a text message,25,3
send me,25,2
you say,25,2
with the,25,2
and you,25,2
you're going,25,2
with you,25,2
mais ou,24,2
mais ou menos,24,3
you need,24,2
ai eu,24,2
and i,24,2
best way,24,2
nos temos,24,2
going to have,24,3
like you know,24,3
you're going to,24,3
for the,24,2
i mean,24,2
gonna send,24,2
como e,23,2
and i'll,23,2
conquito catering,23,2
from conquito catering,23,3
the best way,23,3
up with,23,2
to come,23,2
e muito,22,2
gente vai,22,2
a gente vai,22,3
make sure,22,2
you have a,22,3
voce me,22,2
eu nao,22,2
eu to,22,2
a little,22,2
if i,22,2
let's say,22,2
i'm gonna send,22,3
voce esta,22,2
o rodrigo,21,2
qualquer coisa,21,2
vou colocar,21,2
need to,21,2
to talk to,21,3
when you,21,2
e um,21,2
talk to you,21,3
little bit,21,2
a little bit,21,3
way possible,21,2
best way possible,21,3
get to,21,2
by the,21,2
andre from,21,2
to make,21,2
come up,21,2
come up with,21,3
you get,21,2
kind of,21,2
as you,21,2
o pagamento,20,2
como e que,20,3
we'll talk,20,2
do you have,20,3
the best way possible,20,4
try to,20,2
you come,20,2
say yes,20,2
i don't,20,2
gonna send you,20,3
i'm gonna send you,20,4
can you,20,2
i'm going,20,2
i'm going to,20,3
para o,19,2
as pessoas,19,2
fazer o,19,2
have it,19,2
978 381,19,2
381 1212,19,2
978 381 1212,19,3
andre calling,19,2
is andre calling,19,3
this is andre calling,19,4
love to,19,2
you and,19,2
so we,19,2
by the way,19,3
a lot,19,2
the tasting,19,2
have the,19,2
com keto,19,2
vai ter,19,2
100 pessoas,18,2
the quote,18,2
send me a,18,3
melhor forma,18,2
voce e,18,2
i would,18,2
you the best,18,3
you the best way,18,4
you the best way possible,18,5
food and,18,2
to have a,18,3
to a,18,2
com keto catering,18,3
is that,18,2
to me,18,2
you want,18,2
from com,18,2
vamos dizer,18,2
and we'll,18,2
e voce,17,2
a comida,17,2
te mandar,17,2
eu vou te,17,3
that's awesome,17,2
as soon,17,2
soon as,17,2
as soon as,17,3
have any,17,2
if you have,17,3
talk soon,17,2
da melhor,17,2
pode ser,17,2
entao eu,17,2
ai a,17,2
tipos de,17,2
for a,17,2
i believe,17,2
it's going to be,17,4
and the,17,2
you said,17,2
that you're,17,2
on a,17,2
you say yes,17,3
have to,17,2
look at,17,2
so that,17,2
to see,17,2
you make,17,2
uma coisa,16,2
a great day,16,3
i just,16,2
like a,16,2
is the,16,2
da melhor forma,16,3
de uma,16,2
feijao tropeiro,16,2
vou fazer,16,2
ai a gente,16,3
